bet_num,matchup,pick,probability,ev,bet_size,won,profit,bankroll
224,NOP @ DEN,NOP,0.52,0.040000000000000036,20.57144751822508,False,-20.57144751822508,2036.5733043042812
225,ORL @ MIA,ORL,0.53,0.06000000000000005,30.548599564564245,False,-30.548599564564245,2006.024704739717
226,LAC @ MEM,LAC,0.518,0.03600000000000003,18.054222342657468,True,18.054222342657468,2024.0789270823745
227,SAC @ PHI,SAC,0.65,0.30000000000000004,151.80591953117812,False,-151.80591953117812,1872.2730075511963
228,NYK @ MEM,NYK,0.536,0.07200000000000006,33.700914135921565,True,33.700914135921565,1905.9739216871178
229,LAC @ MIN,LAC,0.5840000000000001,0.16800000000000015,80.05090471085902,False,-80.05090471085902,1825.9230169762589
230,IND @ DEN,IND,0.54,0.08000000000000007,36.51846033952521,False,-36.51846033952521,1789.4045566367336
231,PHX @ POR,PHX,0.65,0.30000000000000004,134.20534174775503,True,134.20534174775503,1923.6098983844886
232,MIA @ BKN,MIA,0.5920000000000001,0.18400000000000016,88.48605532568655,True,88.48605532568655,2012.095953710175
233,OKC @ LAL,OKC,0.65,0.30000000000000004,150.90719652826314,False,-150.90719652826314,1861.188757181912
234,BOS @ TOR,BOS,0.5819999999999999,0.1639999999999997,76.30873904445825,True,76.30873904445825,1937.4974962263702
235,SAS @ ATL,SAS,0.62,0.24,116.24984977358221,False,-116.24984977358221,1821.247646452788
236,OKC @ LAC,OKC,0.5700000000000001,0.14000000000000012,63.74366762584764,False,-63.74366762584764,1757.5039788269405
237,DEN @ PHI,DEN,0.6,0.19999999999999996,87.87519894134701,False,-87.87519894134701,1669.6287798855935
238,MIN @ DET,MIN,0.58,0.15999999999999992,66.78515119542371,True,66.78515119542371,1736.4139310810172
239,BKN @ POR,BKN,0.56,0.1200000000000001,52.092417932430564,False,-52.092417932430564,1684.3215131485865
240,MIA @ TOR,MIA,0.542,0.08400000000000007,35.37075177612035,False,-35.37075177612035,1648.950761372466
241,CHI @ TOR,CHI,0.602,0.20399999999999996,84.09648882999575,True,84.09648882999575,1733.0472502024618
242,IND @ POR,IND,0.65,0.30000000000000004,129.97854376518464,False,-129.97854376518464,1603.0687064372771
243,PHI @ ORL,PHI,0.65,0.30000000000000004,120.2301529827958,True,120.2301529827958,1723.2988594200729
