game_id,game_date,season,home_team,away_team,home_pts,away_pts,total_pts,spread,home_won,home_fg_pct,away_fg_pct,home_fg3_pct,away_fg3_pct,home_reb,away_reb,home_ast,away_ast,home_tov,away_tov,home_pts_l10,away_pts_l10,home_opp_pts_l10,away_opp_pts_l10,home_win_l10,away_win_l10,home_fg_pct_l10,away_fg_pct_l10,home_reb_l10,away_reb_l10,home_ast_l10,away_ast_l10,home_tov_l10,away_tov_l10,pts_diff_l10,def_diff_l10,win_rate_diff,fg_pct_diff,reb_diff,ast_diff,tov_diff,combined_pts_l10,combined_def_l10
0022200029,2022-10-22,2022-23,IND,DET,124,115,239,9,1,0.437,0.389,0.381,0.429,59,53,28,26,11,13,120.5,109.5,125.5,119.5,0.0,0.5,0.446,0.4295,42.0,45.0,26.5,28.5,15.5,13.5,11.0,-6.0,-0.5,0.016500000000000015,-3.0,-2.0,2.0,230.0,245.0
0022200034,2022-10-22,2022-23,DAL,MEM,137,96,233,41,1,0.5,0.43,0.436,0.273,52,29,23,20,15,17,105.0,122.0,107.0,117.0,0.0,1.0,0.467,0.42400000000000004,40.0,57.0,17.0,26.5,12.0,12.5,-17.0,10.0,-1.0,0.04299999999999998,-17.0,-9.5,-0.5,227.0,224.0
0022200030,2022-10-22,2022-23,ORL,BOS,120,126,246,-6,0,0.474,0.483,0.441,0.404,48,37,21,24,9,8,103.5,118.5,110.5,110.5,0.0,1.0,0.4505,0.54,46.0,39.5,18.5,20.5,18.5,14.5,-15.0,0.0,-1.0,-0.08950000000000002,6.5,-2.0,4.0,222.0,221.0
0022200028,2022-10-22,2022-23,PHI,SAS,105,114,219,-9,0,0.44,0.483,0.323,0.421,40,43,26,27,12,14,102.5,119.5,108.0,131.5,0.0,0.5,0.46699999999999997,0.47350000000000003,37.5,40.5,16.5,28.0,12.0,16.0,-17.0,23.5,-0.5,-0.006500000000000061,-3.0,-11.5,-4.0,222.0,239.5
0022200031,2022-10-22,2022-23,MIA,TOR,112,109,221,3,1,0.5,0.425,0.367,0.359,44,37,28,24,15,6,106.0,106.5,113.5,107.0,0.0,0.5,0.46,0.4535,41.0,41.0,22.0,22.0,14.0,13.0,-0.5,-6.5,-0.5,0.006500000000000006,0.0,0.0,1.0,212.5,220.5
0022200036,2022-10-22,2022-23,SAC,LAC,109,111,220,-2,0,0.471,0.506,0.4,0.409,39,40,24,24,12,13,108.0,103.0,115.0,97.0,0.0,1.0,0.459,0.463,41.0,58.0,27.0,18.0,15.0,22.0,5.0,-18.0,-1.0,-0.0040000000000000036,-17.0,9.0,-7.0,211.0,212.0
0022200033,2022-10-22,2022-23,MIL,HOU,125,105,230,20,1,0.565,0.387,0.516,0.432,47,47,29,20,16,12,90.0,114.5,88.0,123.0,1.0,0.0,0.405,0.45099999999999996,48.0,49.5,24.0,21.5,12.0,14.5,-24.5,35.0,1.0,-0.04599999999999993,-1.5,2.5,-2.5,204.5,211.0
0022200035,2022-10-22,2022-23,DEN,OKC,122,117,239,5,1,0.494,0.447,0.526,0.395,46,47,33,29,18,12,115.0,108.0,123.0,115.0,0.5,0.0,0.5085,0.384,38.0,57.0,25.5,22.0,20.5,13.0,7.0,-8.0,0.5,0.12449999999999994,-19.0,3.5,7.5,223.0,238.0
0022200040,2022-10-23,2022-23,NOP,UTA,121,122,243,-1,0,0.471,0.439,0.296,0.342,45,44,30,29,17,16,127.0,127.5,110.0,114.0,1.0,1.0,0.481,0.47350000000000003,57.0,48.5,27.0,33.0,13.5,16.0,-0.5,4.0,0.0,0.007499999999999951,8.5,-6.0,-2.5,254.5,224.0
0022200037,2022-10-23,2022-23,LAL,POR,104,106,210,-2,0,0.446,0.44,0.182,0.37,40,52,26,19,13,19,103.0,114.0,113.0,109.5,0.0,1.0,0.38849999999999996,0.441,43.0,46.0,23.0,17.0,15.5,14.5,-11.0,-3.5,-1.0,-0.05250000000000005,-3.0,6.0,1.0,217.0,222.5
0022200038,2022-10-23,2022-23,ATL,CHA,109,126,235,-17,0,0.411,0.522,0.229,0.423,45,52,23,28,12,13,112.5,120.5,102.5,113.0,1.0,0.5,0.47450000000000003,0.48250000000000004,42.0,44.0,28.0,28.0,13.0,14.0,-8.0,10.5,0.5,-0.008000000000000007,-2.0,0.0,-1.0,233.0,215.5
0022200041,2022-10-23,2022-23,OKC,MIN,106,116,222,-10,0,0.436,0.523,0.22,0.294,42,54,24,24,11,15,112.5,120.5,118.5,120.0,0.0,0.5,0.4155,0.4365,52.0,57.5,25.5,22.5,12.5,17.0,-8.0,1.5,-0.5,-0.02100000000000002,-5.5,3.0,-4.5,233.0,238.5
0022200039,2022-10-23,2022-23,CLE,WAS,117,107,224,10,1,0.427,0.494,0.394,0.429,48,35,19,25,13,18,116.5,108.0,102.0,103.5,0.5,1.0,0.5295,0.485,43.0,46.0,28.5,23.5,17.0,16.0,8.5,1.5,-0.5,0.044499999999999984,-3.0,5.0,1.0,224.5,205.5
0022200042,2022-10-23,2022-23,GSW,SAC,130,125,255,5,1,0.517,0.47,0.424,0.256,37,51,24,31,13,16,123.0,108.5,118.5,113.0,0.5,0.0,0.46599999999999997,0.46499999999999997,41.5,40.0,32.5,25.5,18.0,13.5,14.5,-5.5,0.5,0.0010000000000000009,1.5,7.0,4.5,231.5,231.5
0022200043,2022-10-23,2022-23,LAC,PHX,95,112,207,-17,0,0.439,0.462,0.281,0.357,43,49,16,29,14,12,107.0,109.0,103.0,109.0,1.0,0.5,0.48450000000000004,0.46399999999999997,49.0,40.5,21.0,28.0,17.5,14.0,-2.0,6.0,0.5,0.020500000000000074,8.5,-7.0,3.5,216.0,212.0
0022200046,2022-10-24,2022-23,NYK,ORL,115,102,217,13,1,0.462,0.419,0.297,0.2,50,41,24,14,13,12,121.0,109.0,110.5,115.66666666666667,0.5,0.0,0.465,0.4583333333333333,52.0,46.666666666666664,28.5,19.333333333333332,12.0,15.333333333333334,12.0,5.166666666666671,0.5,0.00666666666666671,5.333333333333336,9.166666666666668,-3.333333333333334,230.0,226.16666666666669
0022200044,2022-10-24,2022-23,PHI,IND,120,106,226,14,1,0.475,0.422,0.442,0.273,39,47,25,27,7,13,103.33333333333333,121.66666666666667,110.0,122.0,0.0,0.3333333333333333,0.45799999999999996,0.443,38.333333333333336,47.666666666666664,19.666666666666668,27.0,12.0,14.0,-18.333333333333343,12.0,-0.3333333333333333,0.014999999999999958,-9.333333333333329,-7.333333333333332,-2.0,225.0,232.0
0022200049,2022-10-24,2022-23,MEM,BKN,134,124,258,10,1,0.5,0.54,0.471,0.31,38,35,21,27,8,11,113.33333333333333,108.5,123.66666666666667,117.5,0.6666666666666666,0.5,0.426,0.46199999999999997,47.666666666666664,41.5,24.333333333333332,24.0,14.0,14.5,4.833333333333329,-6.166666666666671,0.16666666666666663,-0.035999999999999976,6.166666666666664,0.33333333333333215,-0.5,221.83333333333331,241.16666666666669
0022200050,2022-10-24,2022-23,MIN,SAS,106,115,221,-9,0,0.442,0.457,0.258,0.324,50,50,24,37,16,13,119.0,117.66666666666667,115.33333333333333,122.66666666666667,0.6666666666666666,0.6666666666666666,0.4653333333333333,0.47666666666666674,56.333333333333336,41.333333333333336,23.0,27.666666666666668,16.333333333333332,15.333333333333334,1.3333333333333286,7.333333333333343,0.0,-0.011333333333333417,15.0,-4.666666666666668,0.9999999999999982,236.66666666666669,238.0
0022200047,2022-10-24,2022-23,CHI,BOS,120,102,222,18,1,0.483,0.37,0.476,0.375,60,45,29,26,13,10,104.0,121.0,112.66666666666667,113.66666666666667,0.3333333333333333,1.0,0.42133333333333334,0.521,39.666666666666664,38.666666666666664,20.333333333333332,21.666666666666668,12.333333333333334,12.333333333333334,-17.0,1.0,-0.6666666666666667,-0.09966666666666668,1.0,-1.3333333333333357,0.0,225.0,226.33333333333334
0022200048,2022-10-24,2022-23,HOU,UTA,114,108,222,6,1,0.422,0.473,0.314,0.344,47,49,17,23,15,20,111.33333333333333,125.66666666666667,123.66666666666667,116.33333333333333,0.0,1.0,0.42966666666666664,0.462,48.666666666666664,47.0,21.0,31.666666666666668,13.666666666666666,16.0,-14.333333333333343,-7.333333333333343,-1.0,-0.03233333333333338,1.6666666666666643,-10.666666666666668,-2.333333333333334,237.0,240.0
0022200045,2022-10-24,2022-23,MIA,TOR,90,98,188,-8,0,0.349,0.395,0.235,0.438,46,52,19,22,12,12,108.0,107.33333333333333,112.0,108.66666666666667,0.3333333333333333,0.3333333333333333,0.47333333333333333,0.444,42.0,39.666666666666664,24.0,22.666666666666668,14.333333333333334,10.666666666666666,0.6666666666666714,-3.3333333333333286,0.0,0.029333333333333322,2.3333333333333357,1.3333333333333321,3.666666666666668,215.33333333333331,220.66666666666669
0022200051,2022-10-24,2022-23,POR,DEN,135,110,245,25,1,0.578,0.495,0.457,0.387,45,38,23,28,8,8,111.33333333333333,117.33333333333333,107.66666666666667,121.0,1.0,0.6666666666666666,0.4406666666666667,0.5036666666666666,48.0,40.666666666666664,17.666666666666668,28.0,16.0,19.666666666666668,-6.0,13.333333333333329,0.33333333333333337,-0.06299999999999989,7.333333333333336,-10.333333333333332,-3.666666666666668,228.66666666666666,228.66666666666669
0022200055,2022-10-25,2022-23,PHX,GSW,134,105,239,29,1,0.511,0.451,0.414,0.286,48,40,31,28,13,13,110.0,125.33333333333333,104.33333333333333,120.66666666666667,0.6666666666666666,0.6666666666666666,0.4633333333333333,0.48299999999999993,43.333333333333336,40.0,28.333333333333332,29.666666666666668,13.333333333333334,16.333333333333332,-15.333333333333329,16.333333333333343,0.0,-0.01966666666666661,3.3333333333333357,-1.3333333333333357,-2.9999999999999982,235.33333333333331,225.0
0022200054,2022-10-25,2022-23,OKC,LAC,108,94,202,14,1,0.382,0.422,0.133,0.323,60,47,19,21,5,18,110.33333333333333,103.0,117.66666666666667,106.0,0.0,0.6666666666666666,0.4223333333333333,0.4693333333333334,48.666666666666664,47.0,25.0,19.333333333333332,12.0,16.333333333333332,7.333333333333329,-11.666666666666671,-0.6666666666666666,-0.0470000000000001,1.6666666666666643,5.666666666666668,-4.333333333333332,213.33333333333331,223.66666666666669
0022200053,2022-10-25,2022-23,NOP,DAL,113,111,224,2,1,0.579,0.5,0.444,0.308,26,37,25,18,14,11,125.0,121.0,114.0,101.5,0.6666666666666666,0.5,0.47766666666666663,0.48350000000000004,53.0,46.0,28.0,20.0,14.666666666666666,13.5,4.0,-12.5,0.16666666666666663,-0.0058333333333334125,7.0,8.0,1.166666666666666,246.0,215.5
0022200052,2022-10-25,2022-23,WAS,DET,120,99,219,21,1,0.518,0.409,0.303,0.286,47,41,26,12,11,13,107.66666666666667,111.33333333333333,108.0,121.0,0.6666666666666666,0.3333333333333333,0.488,0.416,42.333333333333336,47.666666666666664,24.0,27.666666666666668,16.666666666666668,13.333333333333334,-3.666666666666657,13.0,0.3333333333333333,0.07200000000000001,-5.333333333333329,-3.666666666666668,3.333333333333334,219.0,229.0
0022200059,2022-10-26,2022-23,TOR,PHI,119,109,228,10,1,0.548,0.506,0.432,0.444,39,34,32,29,9,12,105.0,107.5,104.0,109.0,0.5,0.25,0.43175,0.46224999999999994,42.75,38.5,22.5,21.0,11.0,10.75,-2.5,5.0,0.25,-0.030499999999999916,4.25,1.5,0.25,212.5,213.0
0022200065,2022-10-26,2022-23,POR,MIA,98,119,217,-21,0,0.436,0.506,0.324,0.395,38,46,20,34,19,16,117.25,103.5,108.25,108.5,1.0,0.25,0.475,0.44225,47.25,43.0,19.0,22.75,14.0,13.75,13.75,0.25,0.75,0.03275,4.25,-3.75,0.25,220.75,216.75
0022200056,2022-10-26,2022-23,CLE,ORL,103,92,195,11,1,0.414,0.432,0.303,0.25,43,43,25,19,12,16,116.66666666666667,107.25,103.66666666666667,115.5,0.6666666666666666,0.0,0.49533333333333335,0.4485,44.666666666666664,45.25,25.333333333333332,18.0,15.666666666666666,14.5,9.416666666666671,11.833333333333329,0.6666666666666666,0.04683333333333334,-0.5833333333333357,7.333333333333332,1.166666666666666,223.91666666666669,219.16666666666669
0022200063,2022-10-26,2022-23,UTA,HOU,109,101,210,8,1,0.422,0.383,0.289,0.275,53,49,28,19,15,19,121.25,112.0,115.75,119.75,0.75,0.25,0.46475,0.42774999999999996,47.5,48.25,29.5,20.0,17.0,14.0,9.25,4.0,0.5,0.03700000000000003,-0.75,9.5,3.0,233.25,235.5
0022200058,2022-10-26,2022-23,NYK,CHA,134,131,265,3,1,0.536,0.495,0.367,0.419,46,42,26,31,16,15,119.0,122.33333333333333,107.66666666666667,111.66666666666667,0.6666666666666666,0.6666666666666666,0.464,0.4956666666666667,51.333333333333336,46.666666666666664,27.0,28.0,12.333333333333334,13.666666666666666,-3.3333333333333286,4.0,0.0,-0.031666666666666676,4.666666666666671,-1.0,-1.3333333333333321,241.33333333333331,219.33333333333334
0022200064,2022-10-26,2022-23,DEN,LAL,110,99,209,11,1,0.457,0.444,0.265,0.267,54,47,34,25,11,14,115.5,103.33333333333333,124.5,110.66666666666667,0.5,0.0,0.5015,0.4076666666666666,40.0,42.0,28.0,24.0,16.75,14.666666666666666,12.166666666666671,-13.833333333333329,0.5,0.09383333333333332,-2.0,4.0,2.083333333333334,218.83333333333331,235.16666666666669
0022200057,2022-10-26,2022-23,DET,ATL,113,118,231,-5,0,0.462,0.495,0.438,0.364,40,46,23,22,13,12,108.25,111.33333333333333,120.75,110.33333333333333,0.25,0.6666666666666666,0.41425,0.45333333333333337,46.0,43.0,23.75,26.333333333333332,13.25,12.666666666666666,-3.0833333333333286,-10.416666666666671,-0.41666666666666663,-0.03908333333333336,3.0,-2.583333333333332,0.5833333333333339,219.58333333333331,231.08333333333331
0022200062,2022-10-26,2022-23,MIN,SAS,134,122,256,12,1,0.65,0.453,0.588,0.444,30,41,37,34,16,16,115.75,117.0,115.25,118.5,0.5,0.75,0.45949999999999996,0.47175000000000006,54.75,43.5,23.25,30.0,16.25,14.75,-1.25,3.25,-0.25,-0.012250000000000094,11.25,-6.75,1.5,232.75,233.75
0022200061,2022-10-26,2022-23,CHI,IND,124,109,233,15,1,0.494,0.43,0.533,0.4,44,38,34,31,17,16,108.0,117.75,110.0,121.5,0.5,0.25,0.43674999999999997,0.43775,44.75,47.5,22.5,27.0,12.5,13.75,-9.75,11.5,0.25,-0.0010000000000000009,-2.75,-4.5,-1.25,225.75,231.5
0022200060,2022-10-26,2022-23,MIL,BKN,110,99,209,11,1,0.443,0.395,0.278,0.259,54,37,21,23,18,14,107.5,113.66666666666667,96.5,123.0,1.0,0.3333333333333333,0.485,0.488,47.5,39.333333333333336,26.5,25.0,14.0,13.333333333333334,-6.166666666666671,26.5,0.6666666666666667,-0.0030000000000000027,8.166666666666664,1.5,0.6666666666666661,221.16666666666669,219.5
0022200066,2022-10-27,2022-23,BKN,DAL,125,129,254,-4,0,0.462,0.506,0.343,0.5,45,37,20,25,13,17,110.0,117.66666666666667,119.75,105.33333333333333,0.25,0.3333333333333333,0.46475,0.48900000000000005,38.75,43.0,24.5,19.333333333333332,13.5,12.666666666666666,-7.666666666666671,-14.416666666666671,-0.08333333333333331,-0.02425000000000005,-4.25,5.166666666666668,0.8333333333333339,227.66666666666669,225.08333333333331
0022200069,2022-10-27,2022-23,SAC,MEM,110,125,235,-15,0,0.482,0.533,0.316,0.424,40,43,28,27,13,12,114.0,118.5,118.66666666666667,123.75,0.0,0.75,0.4666666666666666,0.4445,43.666666666666664,45.25,27.333333333333332,23.5,14.333333333333334,12.5,-4.5,5.083333333333329,-0.75,0.022166666666666612,-1.5833333333333357,3.833333333333332,1.833333333333334,232.5,242.41666666666669
0022200068,2022-10-27,2022-23,GSW,MIA,123,110,233,13,1,0.5,0.443,0.391,0.326,50,31,30,25,19,12,120.25,106.6,124.0,106.4,0.5,0.4,0.475,0.45499999999999996,40.0,43.6,29.25,25.0,15.5,14.2,13.650000000000006,-17.599999999999994,0.09999999999999998,0.020000000000000018,-3.6000000000000014,4.25,1.3000000000000007,226.85,230.4
0022200067,2022-10-27,2022-23,OKC,LAC,118,110,228,8,1,0.495,0.537,0.447,0.321,36,44,27,21,11,19,109.75,100.75,111.75,106.5,0.25,0.5,0.41225,0.4575,51.5,47.0,23.5,19.75,10.25,16.75,9.0,-5.25,-0.25,-0.04525000000000001,4.5,3.75,-6.5,210.5,218.25
0022200076,2022-10-28,2022-23,MIN,LAL,111,102,213,9,1,0.414,0.416,0.325,0.31,49,55,27,20,10,22,119.4,102.25,116.6,110.5,0.6,0.0,0.4976,0.41674999999999995,49.8,43.25,26.0,24.25,16.2,14.5,17.150000000000006,-6.099999999999994,0.6,0.08085000000000003,6.549999999999997,1.75,1.6999999999999993,221.65,227.1
0022200080,2022-10-28,2022-23,POR,HOU,125,111,236,14,1,0.533,0.426,0.371,0.368,45,39,30,23,15,15,113.4,109.8,110.4,117.6,0.8,0.2,0.46719999999999995,0.41879999999999995,45.4,48.4,19.2,19.8,15.0,15.0,3.6000000000000085,7.199999999999989,0.6000000000000001,0.0484,-3.0,-0.6000000000000014,0.0,223.2,228.0
0022200079,2022-10-28,2022-23,PHX,NOP,124,111,235,13,1,0.522,0.442,0.303,0.405,47,33,33,25,12,13,116.0,122.0,104.5,113.25,0.75,0.75,0.47524999999999995,0.5029999999999999,44.5,46.25,29.0,27.25,13.25,14.5,-6.0,8.75,0.0,-0.02774999999999994,-1.75,1.75,-1.25,238.0,217.75
