game_id,game_date,season,home_team,away_team,home_pts,away_pts,home_won,home_fg_pct,away_fg_pct,home_reb,away_reb,home_ast,away_ast,home_tov,away_tov,home_pts_l10,home_opp_pts_l10,home_fg_pct_l10,home_reb_l10,home_ast_l10,home_win_l10,away_pts_l10,away_opp_pts_l10,away_fg_pct_l10,away_reb_l10,away_ast_l10,away_win_l10
0022400097,2024-10-27,2024-25,IND,PHI,114,118,0,0.464,0.429,37,54,28,15,19,19,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400106,2024-10-28,2024-25,NYK,CLE,104,110,0,0.444,0.476,43,41,22,21,16,13,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400104,2024-10-28,2024-25,BOS,MIL,119,108,1,0.494,0.451,38,43,24,18,12,16,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400103,2024-10-28,2024-25,ATL,WAS,119,121,0,0.481,0.451,39,43,32,24,16,18,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400112,2024-10-28,2024-25,SAC,POR,111,98,1,0.457,0.422,40,46,25,17,14,17,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400109,2024-10-28,2024-25,SAS,HOU,101,106,0,0.425,0.412,49,43,22,20,17,12,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400102,2024-10-28,2024-25,ORL,IND,119,115,1,0.47,0.466,46,44,26,25,15,12,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400108,2024-10-28,2024-25,MEM,CHI,123,126,0,0.459,0.45,60,50,37,36,10,9,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400110,2024-10-28,2024-25,DAL,UTA,110,102,1,0.453,0.37,50,50,27,24,13,13,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400105,2024-10-28,2024-25,MIA,DET,106,98,1,0.432,0.385,44,54,24,14,9,16,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400107,2024-10-28,2024-25,TOR,DEN,125,127,0,0.45,0.49,54,52,30,29,15,16,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400111,2024-10-28,2024-25,PHX,LAL,109,105,1,0.46,0.415,46,46,21,25,10,11,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400114,2024-10-29,2024-25,MIN,DAL,114,120,0,0.506,0.484,42,40,33,25,20,9,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400113,2024-10-29,2024-25,BKN,DEN,139,144,0,0.51,0.517,41,43,37,31,8,5,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400115,2024-10-29,2024-25,UTA,SAC,96,113,0,0.393,0.522,42,49,24,26,17,11,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400116,2024-10-29,2024-25,GSW,NOP,124,106,1,0.474,0.541,34,44,34,23,7,23,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400124,2024-10-30,2024-25,MEM,BKN,106,119,0,0.469,0.513,38,34,27,27,22,15,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400117,2024-10-30,2024-25,CHA,TOR,138,133,1,0.521,0.571,38,41,31,37,15,14,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400126,2024-10-30,2024-25,GSW,NOP,104,89,1,0.471,0.367,42,49,32,24,13,14,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400127,2024-10-30,2024-25,LAC,POR,105,106,0,0.456,0.446,49,47,26,19,13,12,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400119,2024-10-30,2024-25,IND,BOS,135,132,1,0.481,0.404,57,51,33,23,18,14,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400125,2024-10-30,2024-25,OKC,SAS,105,93,1,0.461,0.412,39,52,28,22,10,22,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400121,2024-10-30,2024-25,WAS,ATL,133,120,1,0.528,0.474,37,41,32,28,14,15,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400118,2024-10-30,2024-25,CLE,LAL,134,110,1,0.577,0.494,36,37,37,21,12,20,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400123,2024-10-30,2024-25,CHI,ORL,102,99,1,0.429,0.407,54,42,23,25,14,12,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400120,2024-10-30,2024-25,PHI,DET,95,105,0,0.418,0.462,37,49,17,23,9,16,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400122,2024-10-30,2024-25,MIA,NYK,107,116,0,0.457,0.488,39,42,27,30,10,9,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400128,2024-10-31,2024-25,MEM,MIL,122,99,1,0.524,0.427,56,38,26,20,16,10,117.4,121.6,0.4708,44.8,30.8,0.4,105.0,105.0,0.45,42.0,24.0,0.5
0022400130,2024-10-31,2024-25,UTA,SAS,88,106,0,0.39,0.413,53,42,19,25,26,11,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400129,2024-10-31,2024-25,DAL,HOU,102,108,0,0.459,0.412,37,50,21,21,10,8,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400131,2024-10-31,2024-25,LAC,PHX,119,125,0,0.484,0.512,48,39,27,29,14,12,105.0,105.0,0.45,42.0,24.0,0.5,105.0,105.0,0.45,42.0,24.0,0.5
0022400133,2024-11-01,2024-25,CLE,ORL,120,109,1,0.506,0.456,49,39,25,26,12,14,125.6,107.4,0.5369999999999999,40.0,28.4,1.0,112.2,107.8,0.44980000000000003,45.0,25.6,0.6
